,result,decision,ageDiff,weightDiff,heightDiff,reachDiff,total_bouts_A,total_bouts_B,KoPercent_A,KoPercent_B,WinPercent_A,WinPercent_B,LossPercent_A,LossPercent_B,DrawPercent_A,DrawPercent_B
0,draw,SD,8.0,0.0,4.0,-1.0,37,50,89.1891891891892,68.0,100.0,98.0,0.0,2.0,0.0,2.0
1,win_A,UD,-5.0,0.0,-10.0,-6.0,49,52,69.38775510204081,61.53846153846154,97.95918367346938,96.15384615384616,2.0408163265306123,3.8461538461538463,2.0408163265306123,1.9230769230769231
3,win_A,KO,-4.0,0.0,1.0,-1.0,47,34,68.08510638297872,55.88235294117647,97.87234042553192,91.17647058823529,2.127659574468085,8.823529411764707,2.127659574468085,0.0
6,win_A,SD,-8.0,0.0,0.0,-9.0,44,20,70.45454545454545,60.0,97.72727272727273,95.0,2.272727272727273,5.0,2.272727272727273,10.0
10,win_A,TKO,-6.0,1.0,-2.0,4.0,40,34,72.5,52.94117647058824,100.0,88.23529411764706,0.0,11.76470588235294,2.5,0.0
11,win_A,UD,-19.0,0.0,1.0,-1.0,39,53,74.35897435897436,73.58490566037736,100.0,86.79245283018868,0.0,13.20754716981132,2.564102564102564,1.8867924528301887
12,win_A,TKO,-11.0,0.0,-5.0,-9.0,38,37,73.68421052631578,75.67567567567568,100.0,89.1891891891892,0.0,10.81081081081081,2.631578947368421,2.7027027027027026
19,win_A,TKO,-13.0,1.0,8.0,6.0,31,32,74.19354838709677,71.875,100.0,96.875,0.0,3.125,3.225806451612903,3.125
25,win_A,TKO,-8.0,0.0,-5.0,-9.0,25,25,72.0,84.0,100.0,92.0,0.0,8.0,4.0,0.0
28,win_A,TKO,-10.0,0.0,2.0,-4.0,22,17,68.18181818181817,88.23529411764706,100.0,94.11764705882352,0.0,5.88235294117647,4.545454545454546,0.0
52,win_A,KO,-5.0,1.0,-6.0,-3.0,31,22,70.96774193548387,50.0,100.0,100.0,0.0,0.0,0.0,0.0
54,win_A,TKO,-4.0,-4.0,-6.0,-2.0,29,35,68.96551724137932,65.71428571428571,100.0,82.85714285714286,0.0,17.142857142857142,0.0,0.0
57,win_A,TKO,-5.0,0.0,4.0,-5.0,26,30,69.23076923076923,66.66666666666666,100.0,96.66666666666667,0.0,3.3333333333333335,0.0,0.0
59,win_A,UD,-6.0,1.0,0.0,5.0,24,35,70.83333333333334,48.57142857142857,100.0,82.85714285714286,0.0,17.142857142857142,0.0,2.857142857142857
70,win_A,TKO,-7.0,0.0,8.0,10.0,13,31,76.92307692307693,35.483870967741936,100.0,64.51612903225806,0.0,35.483870967741936,0.0,0.0
75,win_A,TKO,-7.0,0.0,3.0,9.0,8,23,62.5,26.08695652173913,100.0,39.130434782608695,0.0,60.86956521739131,0.0,4.3478260869565215
99,win_A,TKO,5.0,-1.0,1.0,-10.0,32,20,90.625,30.0,100.0,95.0,0.0,5.0,0.0,0.0
105,win_A,KO,0.0,0.0,1.0,-2.0,26,33,88.46153846153845,60.60606060606061,100.0,87.87878787878788,0.0,12.121212121212121,0.0,0.0
107,win_A,TKO,3.0,1.0,-3.0,-4.0,24,26,87.5,50.0,100.0,80.76923076923077,0.0,19.230769230769234,0.0,0.0
108,win_A,TKO,3.0,0.0,-1.0,0.0,23,29,86.95652173913044,72.41379310344827,100.0,96.55172413793103,0.0,3.4482758620689653,0.0,0.0
111,win_A,TKO,-3.0,2.0,6.0,-2.0,20,34,85.0,50.0,100.0,79.41176470588235,0.0,20.588235294117645,0.0,2.941176470588235
158,win_B,TKO,3.0,0.0,11.0,18.0,28,21,42.857142857142854,80.95238095238095,92.85714285714286,85.71428571428571,7.142857142857142,14.285714285714285,3.571428571428571,4.761904761904762
184,win_A,TKO,-4.0,-12.0,-3.0,1.0,16,17,100.0,88.23529411764706,100.0,100.0,0.0,0.0,0.0,0.0
185,win_B,KO,3.0,-1.0,-2.0,-5.0,23,15,91.30434782608695,100.0,100.0,100.0,0.0,0.0,4.3478260869565215,0.0
186,win_A,TKO,-1.0,-2.0,5.0,10.0,14,16,100.0,81.25,100.0,100.0,0.0,0.0,0.0,0.0
189,win_A,TKO,-9.0,12.0,5.0,17.0,11,46,100.0,60.86956521739131,100.0,78.26086956521739,0.0,21.73913043478261,0.0,2.1739130434782608
190,win_A,KO,-12.0,1.0,10.0,15.0,10,45,100.0,24.444444444444443,100.0,57.77777777777777,0.0,42.22222222222222,0.0,8.88888888888889
214,win_A,TKO,-15.0,0.0,5.0,7.0,19,54,84.21052631578947,44.44444444444444,100.0,74.07407407407408,0.0,25.925925925925924,0.0,5.555555555555555
235,win_A,UD,-1.0,-1.0,1.0,-2.0,26,27,84.61538461538461,59.25925925925925,100.0,96.29629629629629,0.0,3.7037037037037033,0.0,3.7037037037037033
237,win_A,UD,-5.0,0.0,-4.0,-5.0,24,34,87.5,52.94117647058824,100.0,94.11764705882352,0.0,5.88235294117647,0.0,2.941176470588235
253,win_A,TKO,-5.0,3.0,-2.0,-3.0,8,62,100.0,9.67741935483871,100.0,41.935483870967744,0.0,58.06451612903226,0.0,3.225806451612903
262,win_A,TKO,-6.0,1.0,0.0,-10.0,24,33,75.0,51.515151515151516,100.0,93.93939393939394,0.0,6.0606060606060606,0.0,0.0
263,win_A,TKO,-12.0,0.0,-5.0,-7.0,23,27,73.91304347826086,70.37037037037037,100.0,100.0,0.0,0.0,0.0,7.4074074074074066
307,win_B,MD,1.0,0.0,-6.0,-18.0,23,33,60.86956521739131,54.54545454545454,100.0,96.96969696969697,0.0,3.0303030303030303,0.0,3.0303030303030303
313,win_A,TKO,0.0,-1.0,1.0,7.0,27,19,55.55555555555556,31.57894736842105,100.0,89.47368421052632,0.0,10.526315789473683,3.7037037037037033,15.789473684210526
314,win_A,UD,-7.0,0.0,3.0,2.0,26,56,57.692307692307686,42.857142857142854,100.0,87.5,0.0,12.5,3.8461538461538463,3.571428571428571
317,win_A,TKO,-10.0,1.0,5.0,1.0,23,40,56.52173913043478,70.0,100.0,90.0,0.0,10.0,4.3478260869565215,0.0
321,win_A,UD,-9.0,0.0,1.0,-5.0,19,23,57.89473684210527,52.17391304347826,100.0,86.95652173913044,0.0,13.043478260869565,5.263157894736842,4.3478260869565215
326,win_B,KO,-1.0,0.0,-3.0,-4.0,22,14,45.45454545454545,42.857142857142854,90.9090909090909,100.0,9.090909090909092,0.0,0.0,7.142857142857142
327,win_A,TKO,-6.0,-2.0,3.0,-3.0,13,5,38.46153846153847,40.0,100.0,80.0,0.0,20.0,7.6923076923076925,0.0
332,win_A,UD,-1.0,1.0,10.0,7.0,8,7,25.0,57.14285714285714,100.0,85.71428571428571,0.0,14.285714285714285,12.5,0.0
333,win_A,UD,-18.0,2.0,11.0,7.0,7,41,28.57142857142857,43.90243902439025,100.0,65.85365853658537,0.0,34.146341463414636,14.285714285714285,2.4390243902439024
335,win_A,UD,-3.0,0.0,8.0,2.0,5,7,40.0,28.57142857142857,100.0,71.42857142857143,0.0,28.57142857142857,20.0,14.285714285714285
336,win_A,UD,-5.0,0.0,6.0,2.0,4,15,50.0,33.33333333333333,100.0,46.666666666666664,0.0,53.333333333333336,25.0,13.333333333333334
339,win_A,UD,-6.0,-4.0,6.0,2.0,1,2,100.0,50.0,100.0,100.0,0.0,0.0,100.0,0.0
362,win_A,TKO,-5.0,-3.0,4.0,10.0,16,27,81.25,51.85185185185185,100.0,96.29629629629629,0.0,3.7037037037037033,0.0,0.0
381,win_A,UD,2.0,-1.0,7.0,13.0,47,62,55.319148936170215,61.29032258064516,100.0,91.93548387096774,0.0,8.064516129032258,0.0,3.225806451612903
385,win_B,KO,-6.0,4.0,-4.0,0.0,58,60,65.51724137931035,65.0,93.10344827586206,90.0,6.896551724137931,10.0,3.4482758620689653,1.6666666666666667
386,win_A,SD,-5.0,1.0,2.0,5.0,28,57,42.857142857142854,66.66666666666666,100.0,94.73684210526315,0.0,5.263157894736842,0.0,3.508771929824561
387,win_A,MD,-6.0,1.0,-4.0,0.0,56,58,67.85714285714286,67.24137931034483,94.64285714285714,91.37931034482759,5.357142857142857,8.620689655172415,3.571428571428571,1.7241379310344827
388,win_A,UD,-7.0,-2.0,-8.0,-10.0,55,52,69.0909090909091,75.0,94.54545454545455,88.46153846153845,5.454545454545454,11.538461538461538,3.6363636363636362,1.9230769230769231
391,win_A,TKO,1.0,-1.0,-4.0,0.0,52,35,71.15384615384616,77.14285714285715,94.23076923076923,97.14285714285714,5.769230769230769,2.857142857142857,3.8461538461538463,0.0
392,win_A,KO,0.0,-2.0,-5.0,5.0,51,46,70.58823529411765,69.56521739130434,94.11764705882352,97.82608695652173,5.88235294117647,2.1739130434782608,3.9215686274509802,0.0
395,win_A,SD,-5.0,-1.0,-4.0,0.0,48,51,70.83333333333334,68.62745098039215,93.75,94.11764705882352,6.25,5.88235294117647,4.166666666666666,1.9607843137254901
396,win_A,UD,-5.0,0.0,-2.0,-8.0,47,68,72.3404255319149,61.76470588235294,93.61702127659575,92.64705882352942,6.382978723404255,7.352941176470589,4.25531914893617,0.0
398,win_A,KO,-3.0,0.0,-7.0,-13.0,45,52,71.11111111111111,65.38461538461539,93.33333333333333,92.3076923076923,6.666666666666667,7.6923076923076925,4.444444444444445,0.0
401,win_A,TKO,-4.0,0.0,-4.0,0.0,42,52,71.42857142857143,59.61538461538461,92.85714285714286,80.76923076923077,7.142857142857142,19.230769230769234,4.761904761904762,3.8461538461538463
404,draw,SD,-5.0,0.0,-4.0,0.0,40,44,72.5,75.0,95.0,95.45454545454545,5.0,4.545454545454546,2.5,0.0
405,win_A,TKO,-5.0,-1.0,-2.0,-8.0,39,60,71.7948717948718,66.66666666666666,94.87179487179486,95.0,5.128205128205128,5.0,2.564102564102564,0.0
409,win_A,TKO,-10.0,-2.0,0.0,0.0,35,47,68.57142857142857,68.08510638297872,94.28571428571428,93.61702127659575,5.714285714285714,6.382978723404255,2.857142857142857,0.0
411,win_A,TKO,-7.0,-1.0,-2.0,-5.0,34,34,67.64705882352942,64.70588235294117,94.11764705882352,97.05882352941177,5.88235294117647,2.941176470588235,0.0,2.941176470588235
421,win_B,KO,9.0,0.0,-7.0,-10.0,33,24,69.6969696969697,58.333333333333336,96.96969696969697,95.83333333333334,3.0303030303030303,4.166666666666666,3.0303030303030303,0.0
460,win_A,TKO,9.0,0.0,0.0,3.0,15,12,73.33333333333333,50.0,93.33333333333333,91.66666666666666,6.666666666666667,8.333333333333332,0.0,0.0
462,win_B,TKO,2.0,4.0,9.0,12.0,13,31,76.92307692307693,19.35483870967742,100.0,51.61290322580645,0.0,48.38709677419355,0.0,6.451612903225806
470,win_A,UD,-4.0,0.0,0.0,14.0,5,24,100.0,16.666666666666664,100.0,50.0,0.0,50.0,0.0,12.5
476,win_A,UD,3.0,0.0,-3.0,-8.0,24,36,58.333333333333336,66.66666666666666,95.83333333333334,91.66666666666666,4.166666666666666,8.333333333333332,0.0,2.7777777777777777
505,win_A,UD,-5.0,0.0,5.0,-1.0,26,36,61.53846153846154,88.88888888888889,100.0,94.44444444444444,0.0,5.555555555555555,0.0,0.0
508,win_A,TKO,-1.0,0.0,0.0,-6.0,23,28,60.86956521739131,64.28571428571429,100.0,92.85714285714286,0.0,7.142857142857142,0.0,0.0
511,win_A,UD,-16.0,-1.0,4.0,-4.0,20,40,70.0,62.5,100.0,82.5,0.0,17.5,0.0,2.5
517,win_A,KO,-6.0,1.0,-1.0,-9.0,14,34,64.28571428571429,70.58823529411765,100.0,82.35294117647058,0.0,17.647058823529413,0.0,5.88235294117647
523,win_A,UD,-8.0,-2.0,4.0,4.0,8,19,87.5,26.31578947368421,100.0,73.68421052631578,0.0,26.31578947368421,0.0,0.0
535,win_A,TKO,-13.0,0.0,-2.0,-3.0,11,41,81.81818181818183,31.70731707317073,100.0,78.04878048780488,0.0,21.951219512195124,0.0,2.4390243902439024
536,win_A,KO,-8.0,0.0,0.0,-1.0,10,45,80.0,40.0,100.0,84.44444444444444,0.0,15.555555555555555,0.0,2.2222222222222223
537,win_A,UD,-2.0,1.0,2.0,1.0,9,22,88.88888888888889,36.36363636363637,100.0,90.9090909090909,0.0,9.090909090909092,0.0,22.727272727272727
538,win_A,TKO,-10.0,1.0,0.0,-1.0,8,30,87.5,70.0,100.0,80.0,0.0,20.0,0.0,3.3333333333333335
541,win_A,TKO,-8.0,0.0,3.0,6.0,5,31,80.0,58.06451612903226,100.0,93.54838709677419,0.0,6.451612903225806,0.0,3.225806451612903
543,win_A,UD,-6.0,0.0,-3.0,-2.0,3,19,100.0,42.10526315789473,100.0,94.73684210526315,0.0,5.263157894736842,0.0,5.263157894736842
557,win_A,UD,-5.0,0.0,-6.0,-12.0,17,35,58.82352941176471,85.71428571428571,100.0,91.42857142857143,0.0,8.571428571428571,0.0,0.0
558,win_A,UD,0.0,-2.0,-9.0,-15.0,16,10,62.5,30.0,100.0,90.0,0.0,10.0,0.0,0.0
560,win_A,UD,-9.0,0.0,-4.0,-10.0,14,39,64.28571428571429,25.64102564102564,100.0,53.84615384615385,0.0,46.15384615384615,0.0,2.564102564102564
570,win_A,UD,1.0,-1.0,-6.0,-10.0,4,7,50.0,57.14285714285714,100.0,57.14285714285714,0.0,42.857142857142854,0.0,0.0
582,win_A,UD,-8.0,0.0,-3.0,4.0,21,48,66.66666666666666,60.416666666666664,100.0,83.33333333333334,0.0,16.666666666666664,4.761904761904762,2.083333333333333
583,win_A,UD,-3.0,0.0,-3.0,4.0,20,25,70.0,56.00000000000001,100.0,100.0,0.0,0.0,5.0,0.0
587,win_A,UD,-8.0,-2.0,-5.0,-5.0,17,29,76.47058823529412,48.275862068965516,100.0,86.20689655172413,0.0,13.793103448275861,0.0,0.0
606,win_A,SD,2.0,2.0,-4.0,-5.0,31,29,48.38709677419355,72.41379310344827,93.54838709677419,96.55172413793103,6.451612903225806,3.4482758620689653,3.225806451612903,0.0
611,win_B,TKO,5.0,0.0,1.0,10.0,48,25,72.91666666666666,52.0,91.66666666666666,100.0,8.333333333333332,0.0,0.0,4.0
626,win_A,TKO,-12.0,-1.0,-9.0,-2.0,11,35,63.63636363636363,57.14285714285714,100.0,85.71428571428571,0.0,14.285714285714285,0.0,0.0
629,win_A,UD,-15.0,-1.0,-4.0,-5.0,8,10,62.5,20.0,100.0,50.0,0.0,50.0,0.0,0.0
630,win_A,UD,-6.0,0.0,0.0,0.0,7,19,71.42857142857143,52.63157894736842,100.0,73.68421052631578,0.0,26.31578947368421,0.0,5.263157894736842
632,win_A,TKO,-14.0,-1.0,7.0,11.0,5,3,80.0,66.66666666666666,100.0,100.0,0.0,0.0,0.0,0.0
638,win_A,KO,2.0,-1.0,0.0,6.0,26,16,73.07692307692307,62.5,96.15384615384616,100.0,3.8461538461538463,0.0,0.0,0.0
674,win_A,KO,-14.0,0.0,-3.0,-2.0,15,47,73.33333333333333,57.446808510638306,100.0,76.59574468085107,0.0,23.404255319148938,0.0,2.127659574468085
678,win_A,KO,-12.0,2.0,0.0,-2.0,11,22,72.72727272727273,27.27272727272727,100.0,63.63636363636363,0.0,36.36363636363637,0.0,0.0
680,win_A,TKO,-10.0,0.0,-2.0,-7.0,9,16,66.66666666666666,31.25,100.0,75.0,0.0,25.0,0.0,25.0
682,win_A,UD,-3.0,0.0,-2.0,3.0,7,12,71.42857142857143,41.66666666666667,100.0,41.66666666666667,0.0,58.333333333333336,0.0,0.0
683,win_A,TKO,-5.0,-2.0,3.0,-2.0,6,6,66.66666666666666,16.666666666666664,100.0,83.33333333333334,0.0,16.666666666666664,0.0,0.0
691,win_A,TKO,-1.0,0.0,0.0,-4.0,31,31,48.38709677419355,83.87096774193549,100.0,96.7741935483871,0.0,3.225806451612903,0.0,3.225806451612903
692,win_A,UD,-1.0,0.0,0.0,-4.0,30,30,50.0,86.66666666666667,100.0,100.0,0.0,0.0,0.0,3.3333333333333335
698,win_A,TKO,4.0,0.0,-2.0,-4.0,24,19,91.66666666666666,31.57894736842105,100.0,100.0,0.0,0.0,4.166666666666666,5.263157894736842
703,win_A,TKO,-5.0,0.0,-6.0,-9.0,19,25,89.47368421052632,32.0,100.0,84.0,0.0,16.0,5.263157894736842,4.0
704,win_A,TKO,2.0,-2.0,3.0,-7.0,18,13,88.88888888888889,61.53846153846154,100.0,92.3076923076923,0.0,7.6923076923076925,5.555555555555555,0.0
710,win_A,KO,-12.0,1.0,0.0,-1.0,13,21,84.61538461538461,47.61904761904761,100.0,71.42857142857143,0.0,28.57142857142857,0.0,0.0
713,win_A,TKO,-6.0,-2.0,0.0,-4.0,10,27,90.0,59.25925925925925,100.0,81.48148148148148,0.0,18.51851851851852,0.0,0.0
728,win_A,UD,11.0,0.0,-3.0,1.0,36,20,58.333333333333336,60.0,97.22222222222221,90.0,2.7777777777777777,10.0,11.11111111111111,5.0
731,win_A,KO,5.0,0.0,-9.0,-7.0,33,20,54.54545454545454,50.0,96.96969696969697,95.0,3.0303030303030303,5.0,12.121212121212121,5.0
732,win_A,TKO,4.0,0.0,0.0,10.0,32,42,53.125,54.761904761904766,96.875,78.57142857142857,3.125,21.428571428571427,12.5,4.761904761904762
733,draw,MD,5.0,0.0,-9.0,-7.0,32,17,53.125,47.05882352941176,96.875,94.11764705882352,3.125,5.88235294117647,9.375,0.0
736,win_A,UD,0.0,0.0,-14.0,-14.0,29,18,55.172413793103445,50.0,96.55172413793103,88.88888888888889,3.4482758620689653,11.11111111111111,10.344827586206897,5.555555555555555
739,win_A,TKO,7.0,0.0,-2.0,4.0,26,16,53.84615384615385,75.0,96.15384615384616,93.75,3.8461538461538463,6.25,11.538461538461538,0.0
740,win_A,SD,-1.0,0.0,-8.0,6.0,25,30,56.00000000000001,40.0,96.0,90.0,4.0,10.0,12.0,3.3333333333333335
743,win_A,UD,-4.0,0.0,3.0,6.0,22,20,59.09090909090909,75.0,95.45454545454545,100.0,4.545454545454546,0.0,13.636363636363635,0.0
756,win_A,SD,0.0,-6.0,2.0,17.0,16,11,56.25,72.72727272727273,81.25,100.0,18.75,0.0,0.0,9.090909090909092
758,win_B,TKO,-1.0,0.0,-4.0,-1.0,8,9,50.0,66.66666666666666,75.0,100.0,25.0,0.0,0.0,11.11111111111111
772,win_A,UD,-12.0,0.0,14.0,8.0,33,48,72.72727272727273,60.416666666666664,100.0,91.66666666666666,0.0,8.333333333333332,0.0,0.0
774,win_A,UD,-11.0,0.0,12.0,8.0,31,31,77.41935483870968,45.16129032258064,100.0,87.09677419354838,0.0,12.903225806451612,0.0,3.225806451612903
778,win_A,TKO,-11.0,1.0,6.0,0.0,27,39,77.77777777777779,64.1025641025641,100.0,84.61538461538461,0.0,15.384615384615385,0.0,0.0
780,win_A,UD,-7.0,0.0,21.0,3.0,25,30,80.0,43.333333333333336,100.0,66.66666666666666,0.0,33.33333333333333,0.0,3.3333333333333335
814,win_A,TKO,-10.0,0.0,-1.0,-18.0,25,22,84.0,45.45454545454545,96.0,68.18181818181817,4.0,31.818181818181817,0.0,13.636363636363635
819,win_A,TKO,7.0,1.0,-2.0,-7.0,16,20,81.25,85.0,100.0,100.0,0.0,0.0,0.0,0.0
823,win_A,TKO,-13.0,0.0,11.0,1.0,16,23,87.5,52.17391304347826,100.0,86.95652173913044,0.0,13.043478260869565,0.0,0.0
824,win_A,UD,-8.0,1.0,12.0,7.0,15,20,93.33333333333333,60.0,100.0,95.0,0.0,5.0,0.0,10.0
827,win_A,TKO,-10.0,-3.0,7.0,2.0,12,17,91.66666666666666,17.647058823529413,100.0,82.35294117647058,0.0,17.647058823529413,0.0,0.0
835,win_A,TKO,-2.0,5.0,-6.0,-11.0,4,12,100.0,25.0,100.0,41.66666666666667,0.0,58.333333333333336,0.0,0.0
838,win_A,KO,-16.0,3.0,12.0,-13.0,1,2,100.0,50.0,100.0,50.0,0.0,50.0,0.0,0.0
867,win_B,TKO,17.0,0.0,-15.0,-4.0,39,21,48.717948717948715,76.19047619047619,87.17948717948718,100.0,12.82051282051282,0.0,0.0,0.0
868,win_A,UD,1.0,2.0,3.0,7.0,20,14,80.0,71.42857142857143,100.0,85.71428571428571,0.0,14.285714285714285,0.0,7.142857142857142
869,win_A,KO,-13.0,0.0,9.0,7.0,19,24,78.94736842105263,37.5,100.0,91.66666666666666,0.0,8.333333333333332,0.0,0.0
883,win_A,UD,-2.0,0.0,0.0,-9.0,5,8,40.0,37.5,100.0,37.5,0.0,62.5,0.0,12.5
891,win_A,TKO,-5.0,-1.0,-2.0,-5.0,34,26,82.35294117647058,53.84615384615385,100.0,92.3076923076923,0.0,7.6923076923076925,0.0,0.0
905,win_A,TKO,-4.0,0.0,0.0,10.0,20,28,85.0,50.0,100.0,78.57142857142857,0.0,21.428571428571427,0.0,17.857142857142858
911,win_A,UD,-12.0,0.0,0.0,-10.0,14,40,85.71428571428571,57.49999999999999,100.0,85.0,0.0,15.0,0.0,0.0
915,win_A,TKO,-8.0,0.0,3.0,5.0,10,8,80.0,0.0,100.0,62.5,0.0,37.5,0.0,12.5
922,win_A,KO,-5.0,1.0,-2.0,-2.0,3,13,66.66666666666666,7.6923076923076925,100.0,30.76923076923077,0.0,69.23076923076923,0.0,46.15384615384615
927,win_A,UD,-1.0,0.0,3.0,5.0,17,17,88.23529411764706,35.294117647058826,100.0,94.11764705882352,0.0,5.88235294117647,0.0,17.647058823529413
928,win_A,TKO,-4.0,0.0,8.0,8.0,16,29,87.5,62.06896551724138,100.0,89.65517241379311,0.0,10.344827586206897,0.0,0.0
930,win_A,TKO,3.0,2.0,5.0,5.0,14,23,85.71428571428571,39.130434782608695,100.0,78.26086956521739,0.0,21.73913043478261,0.0,0.0
936,win_A,TKO,-3.0,1.0,5.0,0.0,8,8,75.0,62.5,100.0,87.5,0.0,12.5,0.0,25.0
952,win_A,KO,1.0,5.0,5.0,6.0,39,37,58.97435897435898,43.24324324324324,92.3076923076923,70.27027027027027,7.6923076923076925,29.72972972972973,0.0,0.0
956,win_A,TKO,-3.0,0.0,-7.0,-13.0,35,23,57.14285714285714,30.434782608695656,91.42857142857143,69.56521739130434,8.571428571428571,30.434782608695656,0.0,13.043478260869565
963,win_A,MD,-14.0,1.0,7.0,-3.0,28,41,64.28571428571429,36.58536585365854,96.42857142857143,82.92682926829268,3.571428571428571,17.073170731707318,0.0,0.0
967,win_A,KO,-4.0,0.0,-1.0,1.0,24,28,62.5,32.142857142857146,100.0,78.57142857142857,0.0,21.428571428571427,0.0,7.142857142857142
968,win_A,TKO,-9.0,0.0,3.0,-2.0,23,64,60.86956521739131,57.8125,100.0,92.1875,0.0,7.8125,0.0,1.5625
970,win_A,TKO,-2.0,0.0,5.0,12.0,21,17,57.14285714285714,64.70588235294117,100.0,82.35294117647058,0.0,17.647058823529413,0.0,5.88235294117647
995,win_A,SD,2.0,1.0,2.0,-3.0,23,38,73.91304347826086,31.57894736842105,100.0,92.10526315789474,0.0,7.894736842105263,8.695652173913043,2.631578947368421
1003,win_A,UD,-7.0,0.0,4.0,10.0,15,41,73.33333333333333,65.85365853658537,100.0,90.2439024390244,0.0,9.75609756097561,13.333333333333334,2.4390243902439024
1004,win_A,TKO,3.0,0.0,4.0,6.0,14,26,71.42857142857143,69.23076923076923,100.0,92.3076923076923,0.0,7.6923076923076925,14.285714285714285,0.0
1033,draw,MD,0.0,1.0,0.0,10.0,15,21,66.66666666666666,23.809523809523807,100.0,80.95238095238095,0.0,19.047619047619047,0.0,4.761904761904762
1042,win_A,UD,-3.0,2.0,4.0,4.0,6,27,66.66666666666666,22.22222222222222,100.0,59.25925925925925,0.0,40.74074074074074,0.0,7.4074074074074066
1079,win_A,TKO,-4.0,-1.0,4.0,10.0,12,30,25.0,30.0,91.66666666666666,73.33333333333333,8.333333333333332,26.666666666666668,0.0,0.0
1091,win_A,TKO,-7.0,-1.0,1.0,-10.0,25,22,72.0,95.45454545454545,100.0,100.0,0.0,0.0,0.0,0.0
1096,win_A,TKO,-14.0,-1.0,9.0,2.0,20,31,70.0,45.16129032258064,100.0,80.64516129032258,0.0,19.35483870967742,0.0,6.451612903225806
1147,win_A,TKO,0.0,1.0,9.0,-2.0,22,20,68.18181818181817,50.0,90.9090909090909,85.0,9.090909090909092,15.0,0.0,0.0
1209,win_A,TKO,4.0,0.0,-8.0,-2.0,29,16,44.827586206896555,68.75,89.65517241379311,100.0,10.344827586206897,0.0,3.4482758620689653,6.25
1213,win_A,KO,-5.0,0.0,5.0,-6.0,13,24,69.23076923076923,70.83333333333334,100.0,70.83333333333334,0.0,29.166666666666668,0.0,0.0
1218,win_A,TKO,-7.0,-2.0,2.0,-13.0,8,14,87.5,50.0,100.0,71.42857142857143,0.0,28.57142857142857,0.0,0.0
1275,win_A,TKO,-7.0,-29.0,-8.0,-2.0,10,48,80.0,31.25,100.0,77.08333333333334,0.0,22.916666666666664,0.0,2.083333333333333
1289,win_A,TKO,-8.0,-1.0,-1.0,-7.0,42,59,85.71428571428571,50.847457627118644,100.0,86.4406779661017,0.0,13.559322033898304,0.0,0.0
1291,win_A,TKO,-1.0,1.0,0.0,-3.0,40,40,85.0,47.5,100.0,82.5,0.0,17.5,0.0,5.0
1292,win_A,TKO,-4.0,0.0,0.0,-2.0,39,23,84.61538461538461,43.47826086956522,100.0,86.95652173913044,0.0,13.043478260869565,0.0,0.0
1295,win_A,TKO,-2.0,0.0,-6.0,-9.0,36,38,83.33333333333334,60.526315789473685,100.0,84.21052631578947,0.0,15.789473684210526,0.0,2.631578947368421
1304,win_A,UD,-6.0,0.0,-8.0,3.0,27,37,85.18518518518519,40.54054054054054,100.0,81.08108108108108,0.0,18.91891891891892,0.0,2.7027027027027026
1339,win_A,UD,-5.0,-1.0,-2.0,3.0,22,28,50.0,46.42857142857143,100.0,75.0,0.0,25.0,0.0,0.0
1365,win_A,KO,-2.0,0.0,3.0,16.0,34,44,67.64705882352942,63.63636363636363,94.11764705882352,88.63636363636364,5.88235294117647,11.363636363636363,0.0,2.272727272727273
1368,win_A,TKO,-8.0,0.0,3.0,0.0,31,35,67.74193548387096,80.0,93.54838709677419,91.42857142857143,6.451612903225806,8.571428571428571,0.0,2.857142857142857
1384,win_A,TKO,-6.0,0.0,1.0,3.0,14,20,85.71428571428571,25.0,100.0,60.0,0.0,40.0,0.0,20.0
1408,win_A,UD,-3.0,0.0,-7.0,-9.0,60,28,61.66666666666667,67.85714285714286,81.66666666666667,82.14285714285714,18.333333333333332,17.857142857142858,0.0,3.571428571428571
1420,win_A,UD,-2.0,0.0,8.0,4.0,23,48,78.26086956521739,58.333333333333336,86.95652173913044,79.16666666666666,13.043478260869565,20.833333333333336,0.0,0.0
1425,win_A,KO,-3.0,-1.0,1.0,-1.0,43,35,62.7906976744186,48.57142857142857,81.3953488372093,71.42857142857143,18.6046511627907,28.57142857142857,0.0,2.857142857142857
1429,win_A,TKO,-12.0,1.0,-8.0,-1.0,39,38,61.53846153846154,52.63157894736842,82.05128205128204,78.94736842105263,17.94871794871795,21.052631578947366,0.0,0.0
1434,win_A,UD,0.0,0.0,3.0,6.0,24,34,58.333333333333336,58.82352941176471,91.66666666666666,82.35294117647058,8.333333333333332,17.647058823529413,0.0,0.0
1435,win_A,SD,-4.0,0.0,5.0,-4.0,21,33,71.42857142857143,60.60606060606061,100.0,84.84848484848484,0.0,15.151515151515152,0.0,0.0
1440,win_A,UD,2.0,0.0,5.0,-1.0,25,28,64.0,60.71428571428571,88.0,89.28571428571429,12.0,10.714285714285714,0.0,0.0
1441,win_A,UD,6.0,0.0,8.0,6.0,36,27,72.22222222222221,62.96296296296296,97.22222222222221,92.5925925925926,2.7777777777777777,7.4074074074074066,5.555555555555555,0.0
1452,win_A,SD,-14.0,1.0,-3.0,-2.0,16,72,75.0,55.55555555555556,100.0,77.77777777777779,0.0,22.22222222222222,0.0,4.166666666666666
