,result,decision,ageDiff,weightDiff,heightDiff,reachDiff,total_bouts_A,total_bouts_B,KoPercent_A,KoPercent_B,WinPercent_A,WinPercent_B,LossPercent_A,LossPercent_B,DrawPercent_A,DrawPercent_B
299833,win_A,TKO,0.0,-2.0,-8.0,-5.0,66,24,39.39393939393939,37.5,74.24242424242425,79.16666666666666,25.757575757575758,20.833333333333336,12.121212121212121,4.166666666666666
299840,draw,PTS,-2.0,4.0,5.0,8.0,60,51,41.66666666666667,35.294117647058826,73.33333333333333,80.3921568627451,26.666666666666668,19.607843137254903,10.0,3.9215686274509802
299850,draw,PTS,-5.0,3.0,5.0,8.0,48,60,43.75,16.666666666666664,72.91666666666666,65.0,27.083333333333332,35.0,10.416666666666668,13.333333333333334
299852,win_A,PTS,-4.0,7.0,-6.0,-8.0,45,45,13.333333333333334,44.44444444444444,88.88888888888889,73.33333333333333,11.11111111111111,26.666666666666668,17.77777777777778,11.11111111111111
299871,win_B,PTS,-6.0,-1.0,5.0,8.0,28,55,53.57142857142857,18.181818181818183,67.85714285714286,65.45454545454545,32.142857142857146,34.54545454545455,10.714285714285714,9.090909090909092
299876,draw,PTS,-2.0,5.0,4.0,3.0,24,18,50.0,11.11111111111111,62.5,77.77777777777779,37.5,22.22222222222222,8.333333333333332,11.11111111111111
299944,win_A,UD,9.0,0.0,2.0,10.0,39,12,53.84615384615385,41.66666666666667,87.17948717948718,83.33333333333334,12.82051282051282,16.666666666666664,7.6923076923076925,8.333333333333332
299945,win_A,UD,9.0,-2.0,2.0,10.0,38,10,55.26315789473685,50.0,86.8421052631579,90.0,13.157894736842104,10.0,7.894736842105263,10.0
299946,win_B,UD,0.0,-1.0,0.0,5.0,37,33,56.75675675675676,51.515151515151516,89.1891891891892,90.9090909090909,10.81081081081081,9.090909090909092,8.108108108108109,3.0303030303030303
299951,win_B,UD,5.0,-1.0,1.0,8.0,29,21,68.96551724137932,23.809523809523807,96.55172413793103,90.47619047619048,3.4482758620689653,9.523809523809524,6.896551724137931,0.0
299954,win_A,PTS,2.0,-2.0,7.0,18.0,27,27,74.07407407407408,33.33333333333333,96.29629629629629,48.148148148148145,3.7037037037037033,51.85185185185185,3.7037037037037033,7.4074074074074066
300166,win_A,UD,-10.0,-1.0,9.0,-5.0,19,34,68.42105263157895,47.05882352941176,100.0,82.35294117647058,0.0,17.647058823529413,0.0,0.0
300168,win_A,TKO,-9.0,0.0,2.0,-13.0,16,11,68.75,27.27272727272727,100.0,81.81818181818183,0.0,18.181818181818183,0.0,0.0
300169,win_A,UD,-13.0,0.0,7.0,-10.0,15,20,73.33333333333333,20.0,100.0,55.00000000000001,0.0,45.0,0.0,5.0
300170,win_A,TKO,-8.0,-2.0,7.0,-5.0,13,27,69.23076923076923,33.33333333333333,100.0,48.148148148148145,0.0,51.85185185185185,0.0,3.7037037037037033
300171,win_A,TKO,-11.0,-2.0,14.0,3.0,12,16,66.66666666666666,56.25,100.0,75.0,0.0,25.0,0.0,0.0
300221,win_B,KO,9.0,0.0,-16.0,5.0,45,28,66.66666666666666,39.285714285714285,88.88888888888889,89.28571428571429,11.11111111111111,10.714285714285714,2.2222222222222223,3.571428571428571
300224,win_A,SD,-2.0,0.0,-11.0,-3.0,41,27,73.17073170731707,48.148148148148145,90.2439024390244,88.88888888888889,9.75609756097561,11.11111111111111,2.4390243902439024,7.4074074074074066
300227,win_A,TKO,7.0,0.0,-11.0,-3.0,37,29,78.37837837837837,27.586206896551722,91.8918918918919,62.06896551724138,8.108108108108109,37.93103448275862,2.7027027027027026,6.896551724137931
300229,win_A,TKO,7.0,0.0,-16.0,-3.0,34,24,82.35294117647058,79.16666666666666,97.05882352941177,91.66666666666666,2.941176470588235,8.333333333333332,2.941176470588235,4.166666666666666
300240,win_A,TKO,2.0,0.0,-3.0,8.0,24,6,79.16666666666666,66.66666666666666,100.0,100.0,0.0,0.0,0.0,0.0
300955,win_A,KO,3.0,0.0,10.0,16.0,31,33,67.74193548387096,42.42424242424242,90.32258064516128,72.72727272727273,9.67741935483871,27.27272727272727,0.0,0.0
300956,win_A,UD,-3.0,1.0,15.0,22.0,27,19,77.77777777777779,42.10526315789473,92.5925925925926,78.94736842105263,7.4074074074074066,21.052631578947366,0.0,5.263157894736842
300960,win_A,TKO,-4.0,0.0,15.0,15.0,22,27,81.81818181818183,51.85185185185185,95.45454545454545,85.18518518518519,4.545454545454546,14.814814814814813,0.0,3.7037037037037033
300961,win_A,UD,-13.0,0.0,8.0,12.0,21,31,85.71428571428571,41.935483870967744,95.23809523809523,77.41935483870968,4.761904761904762,22.58064516129032,0.0,0.0
300966,win_A,TKO,-7.0,0.0,10.0,12.0,16,31,87.5,41.935483870967744,100.0,64.51612903225806,0.0,35.483870967741936,0.0,9.67741935483871
300969,win_A,TKO,-3.0,-1.0,5.0,17.0,12,9,100.0,55.55555555555556,100.0,77.77777777777779,0.0,22.22222222222222,0.0,22.22222222222222
300970,win_A,KO,-8.0,0.0,5.0,7.0,11,35,100.0,42.857142857142854,100.0,57.14285714285714,0.0,42.857142857142854,0.0,2.857142857142857
300973,win_A,TKO,-13.0,0.0,12.0,10.0,8,35,100.0,22.857142857142858,100.0,45.714285714285715,0.0,54.285714285714285,0.0,11.428571428571429
301321,win_A,UD,-4.0,0.0,8.0,20.0,41,21,56.09756097560976,42.857142857142854,92.6829268292683,85.71428571428571,7.317073170731707,14.285714285714285,0.0,9.523809523809524
301325,win_A,UD,-9.0,5.0,17.0,13.0,34,16,64.70588235294117,43.75,97.05882352941177,68.75,2.941176470588235,31.25,0.0,6.25
301328,win_A,TKO,-2.0,0.0,10.0,23.0,30,14,63.33333333333333,35.714285714285715,96.66666666666667,71.42857142857143,3.3333333333333335,28.57142857142857,0.0,14.285714285714285
301329,win_A,TKO,-5.0,1.0,0.0,-7.0,29,31,62.06896551724138,64.51612903225806,96.55172413793103,87.09677419354838,3.4482758620689653,12.903225806451612,0.0,6.451612903225806
301332,win_A,UD,-7.0,1.0,10.0,28.0,25,15,64.0,100.0,100.0,100.0,0.0,0.0,0.0,6.666666666666667
301339,win_A,TKO,-18.0,3.0,3.0,16.0,18,24,50.0,29.166666666666668,100.0,58.333333333333336,0.0,41.66666666666667,0.0,0.0
301351,win_A,UD,1.0,0.0,0.0,-2.0,6,6,66.66666666666666,16.666666666666664,100.0,50.0,0.0,50.0,0.0,0.0
301360,win_A,KO,-11.0,-20.0,8.0,7.0,46,39,78.26086956521739,64.1025641025641,91.30434782608695,87.17948717948718,8.695652173913043,12.82051282051282,2.1739130434782608,2.564102564102564
301361,win_A,UD,5.0,7.0,2.0,-5.0,38,34,65.78947368421053,61.76470588235294,86.8421052631579,79.41176470588235,13.157894736842104,20.588235294117645,2.631578947368421,5.88235294117647
301362,win_A,TKO,5.0,-5.0,-8.0,3.0,37,40,64.86486486486487,67.5,86.48648648648648,82.5,13.513513513513514,17.5,2.7027027027027026,0.0
301365,win_A,TKO,11.0,-4.0,-6.0,5.0,33,50,63.63636363636363,57.99999999999999,87.87878787878788,80.0,12.121212121212121,20.0,3.0303030303030303,4.0
301369,win_A,KO,5.0,18.0,0.0,11.0,29,22,58.620689655172406,18.181818181818183,86.20689655172413,54.54545454545454,13.793103448275861,45.45454545454545,3.4482758620689653,4.545454545454546
301371,draw,SD,-4.0,38.0,0.0,0.0,25,16,64.0,18.75,92.0,43.75,8.0,56.25,0.0,12.5
301373,win_A,UD,-1.0,6.0,0.0,8.0,23,25,69.56521739130434,36.0,91.30434782608695,56.00000000000001,8.695652173913043,44.0,0.0,4.0
301375,win_B,UD,-4.0,4.0,-3.0,0.0,21,27,71.42857142857143,48.148148148148145,95.23809523809523,66.66666666666666,4.761904761904762,33.33333333333333,0.0,0.0
301380,win_A,UD,5.0,3.0,4.0,-3.0,15,27,73.33333333333333,70.37037037037037,100.0,81.48148148148148,0.0,18.51851851851852,0.0,0.0
301400,win_B,UD,-4.0,0.0,-2.0,-3.0,26,21,69.23076923076923,61.904761904761905,88.46153846153845,80.95238095238095,11.538461538461538,19.047619047619047,3.8461538461538463,0.0
301405,win_A,SD,-1.0,0.0,0.0,-8.0,17,12,64.70588235294117,75.0,82.35294117647058,100.0,17.647058823529413,0.0,0.0,0.0
301620,win_A,TKO,-4.0,0.0,0.0,3.0,30,21,53.333333333333336,28.57142857142857,86.66666666666667,71.42857142857143,13.333333333333334,28.57142857142857,20.0,4.761904761904762
301765,win_A,PTS,-11.0,-7.0,5.0,7.0,19,38,57.89473684210527,42.10526315789473,84.21052631578947,57.89473684210527,15.789473684210526,42.10526315789473,0.0,0.0
302275,win_A,MD,-4.0,6.0,3.0,2.0,44,64,40.909090909090914,17.1875,77.27272727272727,84.375,22.727272727272727,15.625,9.090909090909092,3.125
302319,draw,PTS,2.0,0.0,1.0,-5.0,18,37,22.22222222222222,43.24324324324324,94.44444444444444,86.48648648648648,5.555555555555555,13.513513513513514,5.555555555555555,21.62162162162162
